rank,title,year,imdb_rating,genre,cast_name,storyline,combined_text
59,Ozark,2017– ,8.4,"Crime, Drama, Thriller","Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner","A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss.","Title: Ozark Year: 2017–  Genre: Crime, Drama, Thriller Cast: Jason Bateman, Laura Linney, Sofia Hublitz, Skylar Gaertner. Story: A financial advisor drags his family from Chicago to the Missouri Ozarks, where he must launder money to appease a drug boss."
60,The 100,2014–2020,7.6,"Drama, Mystery, Sci-Fi","Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington","Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","Title: The 100 Year: 2014–2020 Genre: Drama, Mystery, Sci-Fi Cast: Eliza Taylor, Bob Morley, Marie Avgeropoulos, Isaiah Washington. Story: Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet."
61,Doctor Who,2005– ,8.6,"Adventure, Drama, Family","Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Title: Doctor Who Year: 2005–  Genre: Adventure, Drama, Family Cast: Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith. Story: The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth."
62,Westworld,2016– ,8.6,"Drama, Mystery, Sci-Fi","Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton","Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence.","Title: Westworld Year: 2016–  Genre: Drama, Mystery, Sci-Fi Cast: Evan Rachel Wood, Jeffrey Wright, Ed Harris, Thandiwe Newton. Story: Set at the intersection of the near future and the reimagined past, explore a world in which every human appetite can be indulged without consequence."
63,The Vampire Diaries,2009–2017,7.7,"Drama, Fantasy, Horror","Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham","The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers.","Title: The Vampire Diaries Year: 2009–2017 Genre: Drama, Fantasy, Horror Cast: Nina Dobrev, Paul Wesley, Ian Somerhalder, Kat Graham. Story: The lives, loves, dangers and disasters in the town, Mystic Falls, Virginia. Creatures of unspeakable horror lurk beneath this town as a teenage girl is suddenly torn between two vampire brothers."
64,The Wire,2002–2008,9.3,"Crime, Drama, Thriller","Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.","Title: The Wire Year: 2002–2008 Genre: Crime, Drama, Thriller Cast: Dominic West, Lance Reddick, Sonja Sohn, Wendell Pierce. Story: The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement."
65,A Million Little Things,2018– ,7.9,"Comedy, Drama, Romance","David Giuntoli, Romany Malco, Allison Miller, Christina Moses",A group of friends becomes motivated to living fuller lives after the unexpected death of a close friend.,"Title: A Million Little Things Year: 2018–  Genre: Comedy, Drama, Romance Cast: David Giuntoli, Romany Malco, Allison Miller, Christina Moses. Story: A group of friends becomes motivated to living fuller lives after the unexpected death of a close friend."
66,The Last Kingdom,2015– ,8.4,"Action, Drama, History","Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady","As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright.","Title: The Last Kingdom Year: 2015–  Genre: Action, Drama, History Cast: Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius, Millie Brady. Story: As Alfred the Great defends his kingdom from Norse invaders, Uhtred - born a Saxon but raised by Vikings - seeks to claim his ancestral birthright."
67,Sons of Anarchy,2008–2014,8.5,"Crime, Drama, Thriller","Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,"Title: Sons of Anarchy Year: 2008–2014 Genre: Crime, Drama, Thriller Cast: Charlie Hunnam, Katey Sagal, Mark Boone Junior, Kim Coates. Story: A biker struggles to balance being a father and being involved in an outlaw motorcycle club."
68,Bones,2005–2017,7.8,"Comedy, Crime, Drama","Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne","Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones.","Title: Bones Year: 2005–2017 Genre: Comedy, Crime, Drama Cast: Emily Deschanel, David Boreanaz, Michaela Conlin, T.J. Thyne. Story: Forensic anthropologist Dr. Temperance ""Bones"" Brennan and cocky F.B.I. Special Agent Seeley Booth build a team to investigate murders. Quite often, there isn't more to examine than rotten flesh or mere bones."
69,Bosch,2014– ,8.4,"Crime, Drama","Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick",An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer.,"Title: Bosch Year: 2014–  Genre: Crime, Drama Cast: Titus Welliver, Jamie Hector, Amy Aquino, Lance Reddick. Story: An L.A.P.D. homicide detective works to solve the murder of a thirteen-year-old boy while standing trial in federal court for the murder of a serial killer."
70,Chicago Fire,2012– ,8.0,"Action, Drama","Jesse Spencer, Taylor Kinney, Christian Stolte, Eamonn Walker","The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level.","Title: Chicago Fire Year: 2012–  Genre: Action, Drama Cast: Jesse Spencer, Taylor Kinney, Christian Stolte, Eamonn Walker. Story: The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level."
71,True Detective,2014–2019,8.9,"Crime, Drama, Mystery","Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch","Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Title: True Detective Year: 2014–2019 Genre: Crime, Drama, Mystery Cast: Vince Vaughn, Colin Farrell, Rachel McAdams, Taylor Kitsch. Story: Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law."
72,Community,2009–2015,8.5,Comedy,"Joel McHale, Danny Pudi, Donald Glover, Chevy Chase",A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,"Title: Community Year: 2009–2015 Genre: Comedy Cast: Joel McHale, Danny Pudi, Donald Glover, Chevy Chase. Story: A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body."
73,Castlevania,2017–2021,8.3,"Animation, Action, Adventure","Richard Armitage, James Callis, Alejandra Reynoso, Theo James",A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.,"Title: Castlevania Year: 2017–2021 Genre: Animation, Action, Adventure Cast: Richard Armitage, James Callis, Alejandra Reynoso, Theo James. Story: A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula."
74,Master of None,2015– ,8.3,"Comedy, Drama","Aziz Ansari, Eric Wareheim, Lena Waithe, Noël Wells","The personal and professional life of Dev, a 30-year-old actor in New York.","Title: Master of None Year: 2015–  Genre: Comedy, Drama Cast: Aziz Ansari, Eric Wareheim, Lena Waithe, Noël Wells. Story: The personal and professional life of Dev, a 30-year-old actor in New York."
75,House M.D.,2004–2012,8.7,"Drama, Mystery","Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer",An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,"Title: House M.D. Year: 2004–2012 Genre: Drama, Mystery Cast: Hugh Laurie, Omar Epps, Robert Sean Leonard, Jesse Spencer. Story: An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits."
76,Sex Education,2019– ,8.3,"Comedy, Drama","Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey",A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school.,"Title: Sex Education Year: 2019–  Genre: Comedy, Drama Cast: Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey. Story: A teenage boy with a sex therapist mother teams up with a high school classmate to set up an underground sex therapy clinic at school."
77,The Bold Type,2017–2021,7.9,"Comedy, Drama","Katie Stevens, Aisha Dee, Meghann Fahy, Melora Hardin",A glimpse into the outrageous lives and loves of those responsible for a global women's magazine.,"Title: The Bold Type Year: 2017–2021 Genre: Comedy, Drama Cast: Katie Stevens, Aisha Dee, Meghann Fahy, Melora Hardin. Story: A glimpse into the outrageous lives and loves of those responsible for a global women's magazine."
78,Superstore,2015–2021,7.8,Comedy,"Ben Feldman, Lauren Ash, Colton Dunn, Nico Santos",A look at the lives of employees at a big box store.,"Title: Superstore Year: 2015–2021 Genre: Comedy Cast: Ben Feldman, Lauren Ash, Colton Dunn, Nico Santos. Story: A look at the lives of employees at a big box store."
79,The Expanse,2015– ,8.5,"Drama, Mystery, Sci-Fi","Wes Chatham, Dominique Tipper, Steven Strait, Shohreh Aghdashloo","In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war.","Title: The Expanse Year: 2015–  Genre: Drama, Mystery, Sci-Fi Cast: Wes Chatham, Dominique Tipper, Steven Strait, Shohreh Aghdashloo. Story: In the 24th century, a disparate band of antiheroes unravel a vast conspiracy that threatens the Solar System's fragile state of cold war."
80,The Rookie,2018– ,8.0,"Comedy, Crime, Drama","Nathan Fillion, Alyssa Diaz, Richard T. Jones, Titus Makin Jr.","Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis.","Title: The Rookie Year: 2018–  Genre: Comedy, Crime, Drama Cast: Nathan Fillion, Alyssa Diaz, Richard T. Jones, Titus Makin Jr.. Story: Starting over isn't easy, especially for John Nolan who, after a life-altering incident, is pursuing his dream of joining the LAPD. As their oldest rookie, he's met with skepticism from those who see him as just a walking midlife crisis."
81,Suits,2011–2019,8.4,"Comedy, Drama","Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty","On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers.","Title: Suits Year: 2011–2019 Genre: Comedy, Drama Cast: Gabriel Macht, Patrick J. Adams, Meghan Markle, Sarah Rafferty. Story: On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City's best lawyers."
82,Parks and Recreation,2009–2020,8.6,Comedy,"Amy Poehler, ""Jim OHeir"", Nick Offerman, Chris Pratt",The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,"Title: Parks and Recreation Year: 2009–2020 Genre: Comedy Cast: Amy Poehler, ""Jim OHeir"", Nick Offerman, Chris Pratt. Story: The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place."
83,Cobra Kai,2018– ,8.6,"Action, Comedy, Drama","Ralph Macchio, Xolo Maridueña, William Zabka, Courtney Henggeler","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.","Title: Cobra Kai Year: 2018–  Genre: Action, Comedy, Drama Cast: Ralph Macchio, Xolo Maridueña, William Zabka, Courtney Henggeler. Story: Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
84,Legends of Tomorrow,2016– ,6.8,"Action, Adventure, Drama","Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Brandon Routh","Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","Title: Legends of Tomorrow Year: 2016–  Genre: Action, Adventure, Drama Cast: Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Brandon Routh. Story: Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time."
